equipe1;equipe2;but1;but2;vict1;null;vict2
Brest;Rennes;1;2;3.3;3.5;2.25
AngersSCO;PSG;0;1;9.75;6.0;1.29
OlympiqueMarseille;Nîmes;1;2;1.43;4.7;7.75
Montpellier;Monaco;2;3;3.2;3.5;2.3
Metz;Nice;1;1;2.75;3.15;2.8
Reims;Saint-Étienne;3;1;2.75;3.1;2.9
PSG;Brest;3;0;1.18;8.75;13.0
Nîmes;Lille;0;1;7.75;4.55;1.44
Montpellier;Nantes;1;1;2.1;3.5;3.75
Monaco;AngersSCO;3;0;1.62;3.95;6.0
Lens;Strasbourg;0;1;2.4;3.25;3.2
Dijon;OlympiqueMarseille;0;0;5.0;3.8;1.74
Bordeaux;Lorient;2;1;2.25;3.25;3.6
Rennes;OlympiqueLyonnais;2;2;3.8;3.6;2.0
Reims;Dijon;0;0;1.87;3.65;4.35
Lille;AngersSCO;1;2;1.83;3.35;5.25
OlympiqueMarseille;Montpellier;3;1;2.25;3.25;3.5
Saint-Étienne;PSG;1;1;13.0;6.0;1.26
OlympiqueLyonnais;Lens;3;2;1.5;4.4;6.75
Lorient;Monaco;2;5;4.25;3.95;1.83
Brest;Nice;2;0;2.25;3.6;3.15
Strasbourg;Nîmes;5;0;1.37;5.0;9.0
Metz;Bordeaux;0;0;2.75;3.05;2.9
Nantes;Rennes;0;0;3.85;3.4;2.1
AngersSCO;OlympiqueMarseille;2;1;3.35;3.1;2.4
OlympiqueLyonnais;Nantes;3;0;1.29;6.0;9.75
Montpellier;Lille;2;3;4.05;3.4;2.0
Monaco;Saint-Étienne;2;2;1.56;4.5;6.0
PSG;Strasbourg;4;0;1.37;5.75;7.75
Nice;Lorient;2;2;1.91;3.45;4.6
Rennes;Metz;1;0;1.62;4.05;5.75
Lens;Brest;2;1;2.1;3.7;3.4
Bordeaux;Reims;1;3;2.4;3.15;3.3
Nîmes;Dijon;1;3;2.65;3.4;2.75
Lille;PSG;0;0;3.4;3.55;2.15
Lorient;Rennes;0;3;4.4;3.55;1.91
Nantes;AngersSCO;1;1;2.5;3.25;3.05
Dijon;Monaco;0;1;7.0;4.6;1.47
Saint-Étienne;Nîmes;2;2;1.53;4.6;6.0
Strasbourg;Bordeaux;0;2;2.25;3.3;3.45
Brest;Montpellier;2;2;2.95;3.6;2.35
Nice;OlympiqueLyonnais;1;4;6.5;4.6;1.49
OlympiqueMarseille;Reims;1;1;1.91;3.2;5.25
Metz;Lens;2;0;3.2;3.25;2.4
PSG;Lorient;2;0;1.15;8.75;16.0
Bordeaux;Saint-Étienne;1;2;2.45;3.35;3.05
OlympiqueLyonnais;Brest;2;2;1.28;6.25;9.75
Rennes;OlympiqueMarseille;2;1;2.25;3.25;3.5
Monaco;Lens;0;3;1.59;4.5;5.5
AngersSCO;Strasbourg;0;2;2.4;3.3;3.2
Dijon;Lille;0;2;6.0;4.4;1.54
Montpellier;Metz;0;2;1.67;3.95;5.5
Reims;Nantes;3;2;2.5;3.3;3.0
Nîmes;Nice;0;2;4.5;3.85;1.8
PSG;OlympiqueLyonnais;0;1;1.54;4.85;5.5
Lille;Bordeaux;2;1;1.67;3.75;6.0
Strasbourg;Metz;2;2;1.91;3.45;4.4
Nantes;Dijon;1;1;1.74;3.8;5.0
Lorient;Nîmes;3;0;2.05;3.5;3.75
Brest;Reims;2;1;2.45;3.3;3.1
Nice;Rennes;0;1;3.15;3.35;2.4
Lens;Montpellier;2;3;2.55;3.25;2.95
OlympiqueMarseille;Monaco;2;1;3.2;3.5;2.3
Saint-Étienne;AngersSCO;0;0;2.4;3.35;3.15
Metz;OlympiqueLyonnais;1;3;6.5;4.6;1.5
Reims;Nice;0;0;2.45;3.35;3.05
AngersSCO;Lorient;2;0;1.8;3.75;4.6
Dijon;Saint-Étienne;0;0;3.45;3.6;2.15
Bordeaux;Brest;1;0;2.2;3.45;3.4
Nantes;Strasbourg;0;4;2.25;3.45;3.3
Lille;Monaco;2;1;2.5;3.55;2.85
Montpellier;PSG;1;3;4.9;4.15;1.69
Rennes;Lens;0;2;2.15;3.35;3.7
